Date,Day,Month,New Cases,New Death,Total Recoverd,New Recovered,Total Death,Total Cases,Active Cases
15/03/2020,Sunday,March,16,0,26,0,2,126,98
16/03/2020,Monday,March,40,2,26,0,4,166,136
17/03/2020,Tuesday,March,30,2,26,0,6,196,164
18/03/2020,Wednesday,March,14,0,28,2,6,210,176
19/03/2020,Thursday,March,46,1,28,0,7,256,221
20/03/2020,Friday,March,29,1,39,11,8,285,238
21/03/2020,Saturday,March,9,2,41,2,10,294,243
22/03/2020,Sunday,March,33,4,56,15,14,327,257
23/03/2020,Monday,March,39,5,68,12,19,366,279
24/03/2020,Tuesday,March,36,1,80,12,20,402,302
25/03/2020,Wednesday,March,54,1,93,13,21,456,342
26/03/2020,Thursday,March,39,3,102,9,24,495,369
27/03/2020,Friday,March,41,6,116,14,30,536,390
28/03/2020,Saturday,March,40,6,121,5,36,576,419
29/03/2020,Sunday,March,33,4,132,11,40,609,437
30/03/2020,Monday,March,47,1,150,18,41,656,465
31/03/2020,Tuesday,March,54,5,157,7,46,710,507
01/04/2020,Wednesday,April,69,6,179,22,52,779,548
02/04/2020,Thursday,April,86,6,201,22,58,865,606
03/04/2020,Friday,April,120,8,216,15,66,985,703
04/04/2020,Saturday,April,85,5,241,25,71,1070,758
05/04/2020,Sunday,April,103,7,247,6,78,1173,848
06/04/2020,Monday,April,149,7,259,12,85,1322,978
07/04/2020,Tuesday,April,128,9,276,17,94,1450,1080
08/04/2020,Wednesday,April,110,9,305,29,103,1560,1152
09/04/2020,Thursday,April,139,15,348,43,118,1699,1233
10/04/2020,Friday,April,95,17,384,36,135,1794,1275
11/04/2020,Saturday,April,145,11,426,42,146,1939,1367
12/04/2020,Sunday,April,126,13,447,21,159,2065,1459
13/04/2020,Monday,April,125,5,488,41,164,2190,1538
14/04/2020,Tuesday,April,160,14,514,26,178,2350,1658
15/04/2020,Wednesday,April,155,5,553,39,183,2505,1769
16/04/2020,Thursday,April,168,13,596,43,196,2673,1881
17/04/2020,Friday,April,171,9,646,50,205,2844,1993
18/04/2020,Saturday,April,188,19,701,55,224,3032,2107
19/04/2020,Sunday,April,112,15,732,31,239,3144,2173
20/04/2020,Monday,April,189,11,821,89,250,3333,2262
21/04/2020,Tuesday,April,157,14,870,49,264,3490,2356
22/04/2020,Wednesday,April,169,12,935,65,276,3659,2448
23/04/2020,Thursday,April,232,11,1004,69,287,3891,2600
24/04/2020,Friday,April,201,7,1075,71,294,4092,2723
25/04/2020,Saturday,April,227,13,1114,39,307,4319,2898
26/04/2020,Sunday,April,215,10,1176,62,317,4534,3041
27/04/2020,Monday,April,248,20,1236,60,337,4782,3209
28/04/2020,Tuesday,April,260,22,1304,68,359,5042,3379
