Date,Day,Month,New Cases,New Death,Total Recoverd,New Recovered,Total Death,Total Cases,Active Cases,year
2020-03-15,Sunday,3,16,0,26,0,2,126,98,2020
2020-03-16,Monday,3,40,2,26,0,4,166,136,2020
2020-03-17,Tuesday,3,30,2,26,0,6,196,164,2020
2020-03-18,Wednesday,3,14,0,28,2,6,210,176,2020
2020-03-19,Thursday,3,46,1,28,0,7,256,221,2020
2020-03-20,Friday,3,29,1,39,11,8,285,238,2020
2020-03-21,Saturday,3,9,2,41,2,10,294,243,2020
2020-03-22,Sunday,3,33,4,56,15,14,327,257,2020
2020-03-23,Monday,3,39,5,68,12,19,366,279,2020
2020-03-24,Tuesday,3,36,1,80,12,20,402,302,2020
2020-03-25,Wednesday,3,54,1,93,13,21,456,342,2020
2020-03-26,Thursday,3,39,3,102,9,24,495,369,2020
2020-03-27,Friday,3,41,6,116,14,30,536,390,2020
2020-03-28,Saturday,3,40,6,121,5,36,576,419,2020
2020-03-29,Sunday,3,33,4,132,11,40,609,437,2020
2020-03-30,Monday,3,47,1,150,18,41,656,465,2020
2020-03-31,Tuesday,3,54,5,157,7,46,710,507,2020
2020-01-04,Wednesday,1,69,6,179,22,52,779,548,2020
2020-02-04,Thursday,2,86,6,201,22,58,865,606,2020
2020-03-04,Friday,3,120,8,216,15,66,985,703,2020
2020-04-04,Saturday,4,85,5,241,25,71,1070,758,2020
2020-05-04,Sunday,5,103,7,247,6,78,1173,848,2020
2020-06-04,Monday,6,149,7,259,12,85,1322,978,2020
2020-07-04,Tuesday,7,128,9,276,17,94,1450,1080,2020
2020-08-04,Wednesday,8,110,9,305,29,103,1560,1152,2020
2020-09-04,Thursday,9,139,15,348,43,118,1699,1233,2020
2020-10-04,Friday,10,95,17,384,36,135,1794,1275,2020
2020-11-04,Saturday,11,145,11,426,42,146,1939,1367,2020
2020-12-04,Sunday,12,126,13,447,21,159,2065,1459,2020
2020-04-13,Monday,4,125,5,488,41,164,2190,1538,2020
2020-04-14,Tuesday,4,160,14,514,26,178,2350,1658,2020
2020-04-15,Wednesday,4,155,5,553,39,183,2505,1769,2020
2020-04-16,Thursday,4,168,13,596,43,196,2673,1881,2020
2020-04-17,Friday,4,171,9,646,50,205,2844,1993,2020
2020-04-18,Saturday,4,188,19,701,55,224,3032,2107,2020
2020-04-19,Sunday,4,112,15,732,31,239,3144,2173,2020
2020-04-20,Monday,4,189,11,821,89,250,3333,2262,2020
2020-04-21,Tuesday,4,157,14,870,49,264,3490,2356,2020
2020-04-22,Wednesday,4,169,12,935,65,276,3659,2448,2020
2020-04-23,Thursday,4,232,11,1004,69,287,3891,2600,2020
2020-04-24,Friday,4,201,7,1075,71,294,4092,2723,2020
